barcode_01	226	303	641	876
barcode_02	41	226	735	676
barcode_03	316	383	450	804
barcode_04	128	322	646	460
barcode_05	199	135	397	683
barcode_06	848	658	1666	1193
barcode_07	346	199	895	392
barcode_08	906	1046	1251	2124
barcode_09	864	2398	1844	3644
barcode_10	400	439	933	1521
barcode_11	203	139	460	841
barcode_12	190	203	896	459
barcode_13	696	1202	1238	1772
barcode_14	191	214	819	451
barcode_15	862	1493	1793	2074
barcode_16	243	160	774	438
barcode_17	1049	813	1409	2096
barcode_18	214	98	452	944
barcode_19	90	218	934	450
barcode_20	325	825	1317	2075
barcode_21	100	119	586	751
barcode_22	281	112	912	583
barcode_23	174	257	823	510
barcode_24	437	437	863	1507
barcode_25	224	349	1248	679
barcode_26	169	276	904	493
barcode_27	431	199	830	1199
barcode_28	157	152	683	542
barcode_29	376	1017	1146	2037
barcode_30	426	493	953	1540
barcode_31	337	249	567	829
barcode_32	200	341	781	571
barcode_33	627	774	1675	1291
barcode_34	451	327	1344	636
barcode_35	843	815	1803	1154
barcode_36	754	493	1802	862
barcode_37	805	615	2017	1197
barcode_38	992	730	1578	3360
barcode_39	408	38	604	963
barcode_40	68	413	1024	603
barcode_41	660	746	1825	1218
barcode_42	644	703	1612	1028
barcode_43	1173	861	2323	1408
barcode_44	795	724	2302	1313
barcode_45	649	355	1648	1035
barcode_46	671	547	1884	975
barcode_47	692	555	1926	957
barcode_48	653	763	1749	1248
barcode_49	1180	1347	2535	1951
barcode_50	1038	1256	2433	1714
barcode_51	1755	1378	2832	1851
barcode_52	567	634	1622	968
barcode_53	818	836	1242	1851
barcode_54	1255	2177	1716	3278
barcode_55	989	779	2273	1256
barcode_56	470	993	1674	1522
barcode_57	847	755	1954	1515
barcode_58	513	564	1732	966
barcode_59	911	787	1863	1239
barcode_60	916	581	1702	1349
barcode_61	538	534	1750	1029
barcode_62	745	1379	1450	1877
barcode_63	778	594	1600	1163
barcode_64	695	1288	1263	1770
barcode_65	334	335	654	1172
barcode_66	44	446	765	656
barcode_67	0	571	1884	2364
barcode_68	39	725	721	972
barcode_69	38	935	693	1300
barcode_70	742	440	1128	630
barcode_71	47	808	977	1247
barcode_72	297	0	1992	826
barcode_73	744	569	1779	1041
